`Jan 30 16:24:57 bc1 pbft-engine[1136]: INFO  | pbft_engine::engine: | Received PeerConnected message with peer info: PeerInfo { peer_id: [2, 251, 163, 36, 246, 153, 171, 101, 160, 163, 129, 32, 16, 226, 114, 198, 12, 165, 91, 96, 190, 54, 190, 79, 201, 151, 135, 80, 99, 42, 77, 175, 87] }
Jan 30 16:27:21 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(6), view 6, seq 1): Updated to view 6
Jan 30 16:27:51 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 6, seq 1): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:27:51 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 6, seq 1): Starting change to view 7
Jan 30 16:27:52 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(7), view 7, seq 1): Updated to view 7
Jan 30 16:28:21 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 7, seq 1): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:28:21 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 7, seq 1): Starting change to view 8
Jan 30 16:28:22 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(8), view 8, seq 1): Updated to view 8
Jan 30 16:28:29 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:58 | (PP, view 8, seq 1): Got BlockNew: 1 / 386102c8a9b6d5be87ce95af41d1c8936c5696e7a16180a1aa842c8477867d242f53f8e6c198b25eb148c50716d5dbe7fb7d061ed399bb7b1df83359afd5cb20
Jan 30 16:28:29 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:67 | Got BlockValid: 386102c8a9b6d5be87ce95af41d1c8936c5696e7a16180a1aa842c8477867d242f53f8e6c198b25eb148c50716d5dbe7fb7d061ed399bb7b1df83359afd5cb20
Jan 30 16:28:30 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:83 | (Fi(false), view 8, seq 1): Got BlockCommit for 386102c8a9b6d5be87ce95af41d1c8936c5696e7a16180a1aa842c8477867d242f53f8e6c198b25eb148c50716d5dbe7fb7d061ed399bb7b1df83359afd5cb20
Jan 30 16:28:59 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 8, seq 2): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:28:59 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 8, seq 2): Starting change to view 9
Jan 30 16:29:00 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(9), view 9, seq 2): Updated to view 9
Jan 30 16:29:30 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 9, seq 2): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:29:30 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 9, seq 2): Starting change to view 10
Jan 30 16:29:30 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(10), view 10, seq 2 *): Updated to view 10
Jan 30 16:30:00 bc1 pbft-engine[1136]: WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
Jan 30 16:30:00 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 10, seq 2 *): Starting change to view 11
Jan 30 16:30:01 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(11), view 11, seq 2): Updated to view 11
Jan 30 16:30:01 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:58 | (PP, view 11, seq 2): Got BlockNew: 1 / b1d1bebfc2a459f1e11532c4244858aff701a8278512d3da1984847a9c02b8ad6a7538adc01e3451ab453f989ec0eacb110f191eb0008ddb6e77354cd1430a3d
Jan 30 16:30:01 bc1 pbft-engine[1136]: ERROR | pbft_engine::engine: | InternalError: Received block 1 / "b1d1bebfc2a459f1e11532c4244858aff701a8278512d3da1984847a9c02b8ad6a7538adc01e3451ab453f989ec0eacb110f191eb0008ddb6e77354cd1430a3d" that is older than the current sequence number: 2
Jan 30 16:30:31 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 11, seq 2): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:30:31 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 11, seq 2): Starting change to view 12
Jan 30 16:30:31 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(12), view 12, seq 2): Updated to view 12
Jan 30 16:30:31 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:58 | (PP, view 12, seq 2): Got BlockNew: 2 / d46bae340060398917ba75580b95aff5854ab0f8cbef1b9b226ea976434fd533585ce186dbadcb98e834213c6a1f4d21cb442913e59934cc8fc40c6b8972299d
Jan 30 16:30:31 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:67 | Got BlockValid: d46bae340060398917ba75580b95aff5854ab0f8cbef1b9b226ea976434fd533585ce186dbadcb98e834213c6a1f4d21cb442913e59934cc8fc40c6b8972299d
Jan 30 16:30:33 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:83 | (Fi(false), view 12, seq 2): Got BlockCommit for d46bae340060398917ba75580b95aff5854ab0f8cbef1b9b226ea976434fd533585ce186dbadcb98e834213c6a1f4d21cb442913e59934cc8fc40c6b8972299d
Jan 30 16:31:03 bc1 pbft-engine[1136]: WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
Jan 30 16:31:03 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 12, seq 3): Starting change to view 13
Jan 30 16:31:03 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(13), view 13, seq 3): Updated to view 13
Jan 30 16:31:33 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 13, seq 3): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:31:33 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 13, seq 3): Starting change to view 14
Jan 30 16:31:33 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(14), view 14, seq 3): Updated to view 14
Jan 30 16:32:03 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 14, seq 3): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:32:03 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 14, seq 3): Starting change to view 15
Jan 30 16:32:03 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(15), view 15, seq 3 *): Updated to view 15
Jan 30 16:32:33 bc1 pbft-engine[1136]: WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
Jan 30 16:32:33 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 15, seq 3 *): Starting change to view 16
Jan 30 16:32:34 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(16), view 16, seq 3): Updated to view 16
Jan 30 16:33:04 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 16, seq 3): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:33:04 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 16, seq 3): Starting change to view 17
Jan 30 16:33:04 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(17), view 17, seq 3): Updated to view 17
Jan 30 16:33:34 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 17, seq 3): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:33:34 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 17, seq 3): Starting change to view 18
Jan 30 16:33:35 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(18), view 18, seq 3): Updated to view 18
Jan 30 16:34:04 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 18, seq 3): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:34:04 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 18, seq 3): Starting change to view 19
Jan 30 16:34:04 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(19), view 19, seq 3): Updated to view 19
Jan 30 16:34:34 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 19, seq 3): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:34:34 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 19, seq 3): Starting change to view 20
Jan 30 16:34:34 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(20), view 20, seq 3 *): Updated to view 20
Jan 30 16:35:04 bc1 pbft-engine[1136]: WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
Jan 30 16:35:04 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 20, seq 3 *): Starting change to view 21
Jan 30 16:35:05 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(21), view 21, seq 3): Updated to view 21
Jan 30 16:35:35 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 21, seq 3): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:35:35 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 21, seq 3): Starting change to view 22
Jan 30 16:35:35 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(22), view 22, seq 3): Updated to view 22
Jan 30 16:36:05 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 22, seq 3): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:36:05 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 22, seq 3): Starting change to view 23
Jan 30 16:36:06 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(23), view 23, seq 3): Updated to view 23
Jan 30 16:36:14 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:58 | (PP, view 23, seq 3): Got BlockNew: 3 / 38a357b258328e8bba1d6ac86a1059498dfc47a4a2d00c67dd39dc1cd73ccede5baed1e5d72dc3a3c54d182693d66d2ddb689dc90e66b2647224d9ba6ac76be3
Jan 30 16:36:14 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:67 | Got BlockValid: 38a357b258328e8bba1d6ac86a1059498dfc47a4a2d00c67dd39dc1cd73ccede5baed1e5d72dc3a3c54d182693d66d2ddb689dc90e66b2647224d9ba6ac76be3
Jan 30 16:36:15 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:83 | (Fi(false), view 23, seq 3): Got BlockCommit for 38a357b258328e8bba1d6ac86a1059498dfc47a4a2d00c67dd39dc1cd73ccede5baed1e5d72dc3a3c54d182693d66d2ddb689dc90e66b2647224d9ba6ac76be3
Jan 30 16:36:45 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 23, seq 4): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:36:45 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 23, seq 4): Starting change to view 24
Jan 30 16:36:45 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(24), view 24, seq 4): Updated to view 24
Jan 30 16:37:15 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 24, seq 4): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:37:15 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 24, seq 4): Starting change to view 25
Jan 30 16:37:15 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(25), view 25, seq 4 *): Updated to view 25
Jan 30 16:37:45 bc1 pbft-engine[1136]: WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
Jan 30 16:37:45 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 25, seq 4 *): Starting change to view 26
Jan 30 16:37:46 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(26), view 26, seq 4): Updated to view 26
Jan 30 16:37:51 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:58 | (PP, view 26, seq 4): Got BlockNew: 4 / 4b9fe3f5b22bff533162213a8fcaf642457d90b5335aea6207042f3c7742009911f1f21957023310d2cd33437717ad6c6729bde2723bdab2944a2828c7771e28
Jan 30 16:37:51 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:67 | Got BlockValid: 4b9fe3f5b22bff533162213a8fcaf642457d90b5335aea6207042f3c7742009911f1f21957023310d2cd33437717ad6c6729bde2723bdab2944a2828c7771e28
Jan 30 16:37:52 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:83 | (Fi(false), view 26, seq 4): Got BlockCommit for 4b9fe3f5b22bff533162213a8fcaf642457d90b5335aea6207042f3c7742009911f1f21957023310d2cd33437717ad6c6729bde2723bdab2944a2828c7771e28
Jan 30 16:38:22 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 26, seq 5): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:38:22 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 26, seq 5): Starting change to view 27
Jan 30 16:38:22 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(27), view 27, seq 5): Updated to view 27
Jan 30 16:38:52 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 27, seq 5): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:38:52 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 27, seq 5): Starting change to view 28
Jan 30 16:38:53 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(28), view 28, seq 5): Updated to view 28
Jan 30 16:39:23 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 28, seq 5): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:39:23 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 28, seq 5): Starting change to view 29
Jan 30 16:39:23 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(29), view 29, seq 5): Updated to view 29
Jan 30 16:39:53 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 29, seq 5): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:39:53 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 29, seq 5): Starting change to view 30
Jan 30 16:39:53 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(30), view 30, seq 5 *): Updated to view 30
Jan 30 16:40:18 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:15 | (PP, view 30, seq 5 *): Publishing block e7b7eace365d981b6aff59b5b8c775ae68d54df4695fa9c07df17b4e6c0bfa9845b530577053586890df89ae11f5c75e406023ad28590bbde34bce10163395d0
Jan 30 16:40:18 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:58 | (PP, view 30, seq 5 *): Got BlockNew: 5 / e7b7eace365d981b6aff59b5b8c775ae68d54df4695fa9c07df17b4e6c0bfa9845b530577053586890df89ae11f5c75e406023ad28590bbde34bce10163395d0
Jan 30 16:40:18 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:67 | Got BlockValid: e7b7eace365d981b6aff59b5b8c775ae68d54df4695fa9c07df17b4e6c0bfa9845b530577053586890df89ae11f5c75e406023ad28590bbde34bce10163395d0
Jan 30 16:40:18 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:73 | Broadcasting PrePrepares
Jan 30 16:40:19 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:83 | (Fi(false), view 30, seq 5 *): Got BlockCommit for e7b7eace365d981b6aff59b5b8c775ae68d54df4695fa9c07df17b4e6c0bfa9845b530577053586890df89ae11f5c75e406023ad28590bbde34bce10163395d0
Jan 30 16:40:19 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:94 | (PP, view 30, seq 6 *): Initializing block on top of e7b7eace365d981b6aff59b5b8c775ae68d54df4695fa9c07df17b4e6c0bfa9845b530577053586890df89ae11f5c75e406023ad28590bbde34bce10163395d0
Jan 30 16:40:19 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:15 | (PP, view 30, seq 6 *): Publishing block 3af6c8e2fa078ca051e399f699ec84245f5dcd2950f1236fd99dd4610a9db44d0af8e45c6d837412943fcc0056fe01967516d063cfcf2ceb3ab2bf4a193996e3
Jan 30 16:40:19 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:58 | (PP, view 30, seq 6 *): Got BlockNew: 6 / 3af6c8e2fa078ca051e399f699ec84245f5dcd2950f1236fd99dd4610a9db44d0af8e45c6d837412943fcc0056fe01967516d063cfcf2ceb3ab2bf4a193996e3
Jan 30 16:40:19 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:67 | Got BlockValid: 3af6c8e2fa078ca051e399f699ec84245f5dcd2950f1236fd99dd4610a9db44d0af8e45c6d837412943fcc0056fe01967516d063cfcf2ceb3ab2bf4a193996e3
Jan 30 16:40:19 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:73 | Broadcasting PrePrepares
Jan 30 16:40:20 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:83 | (Fi(false), view 30, seq 6 *): Got BlockCommit for 3af6c8e2fa078ca051e399f699ec84245f5dcd2950f1236fd99dd4610a9db44d0af8e45c6d837412943fcc0056fe01967516d063cfcf2ceb3ab2bf4a193996e3
Jan 30 16:40:20 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:94 | (PP, view 30, seq 7 *): Initializing block on top of 3af6c8e2fa078ca051e399f699ec84245f5dcd2950f1236fd99dd4610a9db44d0af8e45c6d837412943fcc0056fe01967516d063cfcf2ceb3ab2bf4a193996e3
Jan 30 16:40:50 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 30, seq 7 *): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:40:50 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 30, seq 7 *): Starting change to view 31
Jan 30 16:40:50 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(31), view 31, seq 7): Updated to view 31
Jan 30 16:41:20 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 31, seq 7): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:41:20 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 31, seq 7): Starting change to view 32
Jan 30 16:41:20 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(32), view 32, seq 7): Updated to view 32
Jan 30 16:41:50 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 32, seq 7): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:41:50 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 32, seq 7): Starting change to view 33
Jan 30 16:41:51 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(33), view 33, seq 7): Updated to view 33
Jan 30 16:42:20 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 33, seq 7): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:42:20 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 33, seq 7): Starting change to view 34
Jan 30 16:42:21 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(34), view 34, seq 7): Updated to view 34
Jan 30 16:42:51 bc1 pbft-engine[1136]: WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
Jan 30 16:42:51 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 34, seq 7): Starting change to view 35
Jan 30 16:42:51 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(35), view 35, seq 7 *): Updated to view 35
Jan 30 16:43:21 bc1 pbft-engine[1136]: WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
Jan 30 16:43:21 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 35, seq 7 *): Starting change to view 36
Jan 30 16:43:21 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(36), view 36, seq 7): Updated to view 36
Jan 30 16:43:51 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 36, seq 7): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:43:51 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 36, seq 7): Starting change to view 37
Jan 30 16:43:52 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(37), view 37, seq 7): Updated to view 37
Jan 30 16:44:22 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 37, seq 7): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:44:22 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 37, seq 7): Starting change to view 38
Jan 30 16:44:22 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(38), view 38, seq 7): Updated to view 38
Jan 30 16:44:52 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 38, seq 7): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:44:52 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 38, seq 7): Starting change to view 39
Jan 30 16:44:52 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(39), view 39, seq 7): Updated to view 39
Jan 30 16:45:22 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 39, seq 7): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:45:22 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 39, seq 7): Starting change to view 40
Jan 30 16:45:22 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(40), view 40, seq 7 *): Updated to view 40
Jan 30 16:45:52 bc1 pbft-engine[1136]: WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
Jan 30 16:45:52 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 40, seq 7 *): Starting change to view 41
Jan 30 16:45:53 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(41), view 41, seq 7): Updated to view 41
Jan 30 16:46:23 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 41, seq 7): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:46:23 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 41, seq 7): Starting change to view 42
Jan 30 16:46:23 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(42), view 42, seq 7): Updated to view 42
Jan 30 16:46:53 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 42, seq 7): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:46:53 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 42, seq 7): Starting change to view 43
Jan 30 16:46:53 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(43), view 43, seq 7): Updated to view 43
Jan 30 16:47:23 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 43, seq 7): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:47:23 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 43, seq 7): Starting change to view 44
Jan 30 16:47:23 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(44), view 44, seq 7): Updated to view 44
Jan 30 16:47:53 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 44, seq 7): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:47:53 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 44, seq 7): Starting change to view 45
Jan 30 16:47:53 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(45), view 45, seq 7 *): Updated to view 45
Jan 30 16:48:24 bc1 pbft-engine[1136]: WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
Jan 30 16:48:24 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 45, seq 7 *): Starting change to view 46
Jan 30 16:48:24 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(46), view 46, seq 7): Updated to view 46
Jan 30 16:48:54 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 46, seq 7): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:48:54 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 46, seq 7): Starting change to view 47
Jan 30 16:48:54 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(47), view 47, seq 7): Updated to view 47
Jan 30 16:49:24 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 47, seq 7): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:49:24 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 47, seq 7): Starting change to view 48
Jan 30 16:49:24 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(48), view 48, seq 7): Updated to view 48
Jan 30 16:49:54 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 48, seq 7): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:49:54 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 48, seq 7): Starting change to view 49
Jan 30 16:49:54 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(49), view 49, seq 7): Updated to view 49
